Date,Open,High,Low,Close,Adj Close,Volume,Month,Year
13-Mar-20,21973.82,23189.76,21285.37,23185.62,23185.62,8430800,Mar,2020
12-Mar-20,22184.71,22837.95,21154.46,21200.62,21200.62,9082600,Mar,2020
11-Mar-20,24604.63,24604.63,23328.32,23553.22,23553.22,6639600,Mar,2020
10-Mar-20,24453,25020.99,23690.34,25018.16,25018.16,6548600,Mar,2020
9-Mar-20,24992.36,24992.36,23706.07,23851.02,23851.02,7504300,Mar,2020
6-Mar-20,25457.21,25994.38,25226.62,25864.78,25864.78,5997800,Mar,2020
5-Mar-20,26671.92,26671.92,25943.33,26121.28,26121.28,4773700,Mar,2020
4-Mar-20,26383.68,27102.34,26286.31,27090.86,27090.86,4575900,Mar,2020
3-Mar-20,26762.47,27084.59,25706.28,25917.41,25917.41,6470800,Mar,2020
2-Mar-20,25590.51,26706.17,25391.96,26703.32,26703.32,6372000,Mar,2020
28-Feb-20,25270.83,25494.24,24681.01,25409.36,25409.36,9159900,Feb,2020
27-Feb-20,26526,26775.31,25752.82,25766.64,25766.64,6649800,Feb,2020
26-Feb-20,27159.46,27542.78,26890.97,26957.59,26957.59,4724500,Feb,2020
25-Feb-20,28037.65,28149.2,26997.62,27081.36,27081.36,5132700,Feb,2020
24-Feb-20,28402.93,28402.93,27912.44,27960.8,27960.8,4525800,Feb,2020
21-Feb-20,29146.53,29146.53,28892.7,28992.41,28992.41,3112100,Feb,2020
20-Feb-20,29296.25,29368.45,28959.65,29219.98,29219.98,2877800,Feb,2020
19-Feb-20,29312.7,29409.09,29274.38,29348.03,29348.03,2406400,Feb,2020
18-Feb-20,29282.78,29330.16,29116.81,29232.19,29232.19,2566000,Feb,2020
14-Feb-20,29440.47,29463.04,29283.18,29398.08,29398.08,2310000,Feb,2020
13-Feb-20,29436.03,29535.4,29345.93,29423.31,29423.31,2911500,Feb,2020
12-Feb-20,29406.75,29568.57,29406.75,29551.42,29551.42,3095300,Feb,2020
11-Feb-20,29390.71,29415.39,29210.47,29276.34,29276.34,2795400,Feb,2020
10-Feb-20,28995.66,29278.07,28995.66,29276.82,29276.82,2505100,Feb,2020
7-Feb-20,29286.92,29286.92,29056.98,29102.51,29102.51,2528600,Feb,2020
6-Feb-20,29388.58,29408.05,29246.93,29379.77,29379.77,2637000,Feb,2020
5-Feb-20,29048.73,29308.89,29000.85,29290.85,29290.85,3575400,Feb,2020
4-Feb-20,28696.74,28904.88,28696.74,28807.63,28807.63,3327500,Feb,2020
3-Feb-20,28319.65,28630.39,28319.65,28399.81,28399.81,3079100,Feb,2020
31-Jan-20,28813.04,28813.04,28169.53,28256.03,28256.03,4038900,Jan,2020
30-Jan-20,28640.16,28879.71,28489.76,28859.44,28859.44,3268500,Jan,2020
29-Jan-20,28820.53,28944.24,28728.19,28734.45,28734.45,3022900,Jan,2020
28-Jan-20,28594.28,28823.23,28575.75,28722.85,28722.85,3301400,Jan,2020
27-Jan-20,28542.49,28671.79,28440.47,28535.8,28535.8,3372700,Jan,2020
24-Jan-20,29230.39,29288.79,28843.31,28989.73,28989.73,3800100,Jan,2020
23-Jan-20,29111.02,29190.47,28966.98,29160.09,29160.09,3070600,Jan,2020
22-Jan-20,29263.63,29320.2,29172.26,29186.27,29186.27,2834400,Jan,2020
21-Jan-20,29269.05,29341.21,29146.47,29196.04,29196.04,3206400,Jan,2020
17-Jan-20,29313.31,29373.62,29289.91,29348.1,29348.1,3218200,Jan,2020
16-Jan-20,29131.95,29300.32,29131.95,29297.64,29297.64,2521100,Jan,2020
15-Jan-20,28901.8,29127.59,28897.35,29030.22,29030.22,2602700,Jan,2020
14-Jan-20,28895.5,29054.16,28872.27,28939.67,28939.67,2874400,Jan,2020
13-Jan-20,28869.01,28909.91,28819.43,28907.05,28907.05,2498300,Jan,2020
10-Jan-20,28977.52,29009.07,28789.1,28823.77,28823.77,2378300,Jan,2020
9-Jan-20,28851.97,28988.01,28844.31,28956.9,28956.9,2750600,Jan,2020
8-Jan-20,28556.14,28866.18,28522.51,28745.09,28745.09,2917500,Jan,2020
7-Jan-20,28639.18,28685.5,28565.28,28583.68,28583.68,2589000,Jan,2020
6-Jan-20,28465.5,28708.02,28418.63,28703.38,28703.38,2527600,Jan,2020
3-Jan-20,28553.33,28716.31,28500.36,28634.88,28634.88,2395900,Jan,2020
2-Jan-20,28638.97,28872.8,28627.77,28868.8,28868.8,2518200,Jan,2020
31-Dec-08,8666.48,8842.66,8664.89,8776.39,8776.39,2267600,Dec,2008
30-Dec-08,8487.51,8675.24,8487.51,8668.39,8668.39,1625600,Dec,2008
29-Dec-08,8515.87,8530.68,8364.06,8483.93,8483.93,1537300,Dec,2008
26-Dec-08,8468.71,8533.07,8461.78,8515.55,8515.55,867600,Dec,2008
24-Dec-08,8416.86,8498.5,8416.86,8468.48,8468.48,669300,Dec,2008
23-Dec-08,8518.65,8604.12,8391.3,8419.49,8419.49,1746400,Dec,2008
22-Dec-08,8573.37,8601.41,8372.02,8519.69,8519.69,2110900,Dec,2008
19-Dec-08,8606.5,8787.23,8550.43,8579.11,8579.11,5501500,Dec,2008
18-Dec-08,8823.94,8883.36,8527.41,8604.99,8604.99,2740800,Dec,2008
17-Dec-08,8921.91,8961.26,8778.07,8824.34,8824.34,2392600,Dec,2008
16-Dec-08,8565.65,8958.79,8565.65,8924.14,8924.14,3371900,Dec,2008
15-Dec-08,8628.81,8676.28,8469.03,8564.53,8564.53,2299400,Dec,2008
12-Dec-08,8563.1,8682.57,8347.81,8629.68,8629.68,2710300,Dec,2008
11-Dec-08,8750.13,8809.45,8512.76,8565.09,8565.09,2905400,Dec,2008
10-Dec-08,8693,8879.22,8646.33,8761.42,8761.42,2328300,Dec,2008
9-Dec-08,8934.1,8934.1,8651.74,8691.33,8691.33,2849500,Dec,2008
8-Dec-08,8637.65,9026.41,8637.49,8934.18,8934.18,3589700,Dec,2008
5-Dec-08,8376.08,8686.47,8118.5,8635.42,8635.42,3463700,Dec,2008
4-Dec-08,8587.07,8631.99,8259.4,8376.24,8376.24,2808800,Dec,2008
3-Dec-08,8409.14,8624.19,8234.15,8591.69,8591.69,2946800,Dec,2008
2-Dec-08,8153.75,8437.17,8143.51,8419.09,8419.09,3075200,Dec,2008
1-Dec-08,8826.89,8827.05,8141.36,8149.09,8149.09,3210100,Dec,2008
28-Nov-08,8724.7,8831.35,8672.69,8829.04,8829.04,1555100,Nov,2008
26-Nov-08,8464.49,8726.61,8311.17,8726.61,8726.61,2839200,Nov,2008
25-Nov-08,8445.14,8607.38,8281.46,8479.47,8479.47,3740200,Nov,2008
24-Nov-08,8048.09,8599.02,8048.09,8443.39,8443.39,4918900,Nov,2008
21-Nov-08,7552.37,8071.75,7449.38,8046.42,8046.42,5690100,Nov,2008
20-Nov-08,7995.53,8187.4,7506.97,7552.29,7552.29,5281300,Nov,2008
19-Nov-08,8420.69,8504.64,7987.08,7997.28,7997.28,3504700,Nov,2008
18-Nov-08,8273.34,8477.95,8105.44,8424.75,8424.75,3663900,Nov,2008
17-Nov-08,8494.84,8571.3,8246.89,8273.58,8273.58,2782200,Nov,2008
14-Nov-08,8822.19,8923.18,8469.99,8497.31,8497.31,3043700,Nov,2008
13-Nov-08,8281.14,8876.59,7965.42,8835.25,8835.25,4766000,Nov,2008
12-Nov-08,8684.52,8684.6,8265.29,8282.66,8282.66,3146600,Nov,2008
11-Nov-08,8864.32,8867.91,8560.71,8693.96,8693.96,2572700,Nov,2008
10-Nov-08,8946.6,9159.58,8760.46,8870.54,8870.54,2212300,Nov,2008
7-Nov-08,8696.03,8961.57,8696.03,8943.81,8943.81,2463000,Nov,2008
6-Nov-08,9134.01,9155.44,8637.17,8695.79,8695.79,3443500,Nov,2008
5-Nov-08,9616.6,9616.6,9111.47,9139.27,9139.27,2646400,Nov,2008
4-Nov-08,9323.89,9653.95,9323.89,9625.28,9625.28,2549300,Nov,2008
3-Nov-08,9326.04,9410.55,9255.48,9319.83,9319.83,1809700,Nov,2008
31-Oct-08,9179.09,9454.36,9119.2,9325.01,9325.01,3109500,Oct,2008
30-Oct-08,9004.66,9266.47,8976.87,9180.69,9180.69,2672100,Oct,2008
29-Oct-08,9062.33,9363.32,8890.29,8990.96,8990.96,3162300,Oct,2008
28-Oct-08,8178.72,9082.08,8174.73,9065.12,9065.12,3721600,Oct,2008
27-Oct-08,8375.92,8599.1,8143.59,8175.77,8175.77,2811800,Oct,2008
24-Oct-08,8683.21,8683.21,8187.48,8378.95,8378.95,3356800,Oct,2008
23-Oct-08,8519.77,8795.99,8243.55,8691.25,8691.25,3407400,Oct,2008
22-Oct-08,9027.84,9027.84,8335.3,8519.21,8519.21,3488400,Oct,2008
21-Oct-08,9262.8,9284.55,9004.27,9033.66,9033.66,2311600,Oct,2008
20-Oct-08,8852.3,9266.63,8852.22,9265.43,9265.43,2414000,Oct,2008
17-Oct-08,8975.35,9281.12,8718.25,8852.22,8852.22,3606000,Oct,2008
16-Oct-08,8577.04,9013.27,8197.67,8979.26,8979.26,4224500,Oct,2008
15-Oct-08,9301.91,9308.76,8530.12,8577.91,8577.91,3743500,Oct,2008
14-Oct-08,9388.97,9794.37,9085.43,9310.99,9310.99,4127400,Oct,2008
13-Oct-08,8462.42,9427.99,8462.18,9387.61,9387.61,3992900,Oct,2008
10-Oct-08,8568.67,8901.28,7882.51,8451.19,8451.19,6749200,Oct,2008
9-Oct-08,9261.69,9448.14,8579.19,8579.19,8579.19,4367400,Oct,2008
8-Oct-08,9437.23,9628.07,9194.78,9258.1,9258.1,4792700,Oct,2008
7-Oct-08,9955.42,10124.03,9436.67,9447.11,9447.11,3625200,Oct,2008
6-Oct-08,10322.52,10322.76,9525.32,9955.5,9955.5,3914600,Oct,2008
3-Oct-08,10483.96,10796.26,10310.25,10325.38,10325.38,2996900,Oct,2008
2-Oct-08,10825.54,10825.54,10439.52,10482.85,10482.85,3953300,Oct,2008
1-Oct-08,10847.4,10882.52,10631.95,10831.07,10831.07,2566700,Oct,2008
