,index,FIPS Code,State,Year,Month,Civilian Non-Institutional Population,Labor Force Total,Labor Force Percent of Population,Employment Total,Employment Percent of Population,Unemployment Total,Unemployment Rate
5424,25783,21,Kentucky,2016,July,"3,460,228","2,017,591",58.3,"1,917,963",55.4,"99,628",4.9
5425,25784,22,Louisiana,2016,July,"3,586,053","2,124,777",59.3,"1,994,428",55.6,"130,349",6.1
5426,25785,23,Maine,2016,July,"1,094,627","694,904",63.5,"668,817",61.1,"26,087",3.8
5427,25786,24,Maryland,2016,July,"4,714,009","3,152,707",66.9,"3,018,813",64,"133,894",4.2
5428,25787,25,Massachusetts,2016,July,"5,544,738","3,620,318",65.3,"3,477,693",62.7,"142,625",3.9
5429,25788,26,Michigan,2016,July,"7,918,535","4,855,399",61.3,"4,611,733",58.2,"243,666",5
5430,25789,27,Minnesota,2016,July,"4,319,767","3,021,008",69.9,"2,904,097",67.2,"116,911",3.9
5431,25790,28,Mississippi,2016,July,"2,285,162","1,270,922",55.6,"1,195,416",52.3,"75,506",5.9
5432,25791,29,Missouri,2016,July,"4,755,898","3,078,141",64.7,"2,933,221",61.7,"144,920",4.7
5433,25792,30,Montana,2016,July,"824,204","521,634",63.3,"499,140",60.6,"22,494",4.3
5434,25793,31,Nebraska,2016,July,"1,453,027","1,016,161",69.9,"984,777",67.8,"31,384",3.1
5435,25794,32,Nevada,2016,July,"2,280,511","1,414,241",62,"1,333,032",58.5,"81,209",5.7
5436,25795,33,New Hampshire,2016,July,"1,097,979","753,667",68.6,"731,989",66.7,"21,678",2.9
5437,25796,34,New Jersey,2016,July,"7,029,162","4,493,345",63.9,"4,269,348",60.7,"223,997",5
5438,25797,35,New Mexico,2016,July,"1,617,766","945,687",58.5,"880,580",54.4,"65,107",6.9
5439,25798,36,New York,2016,July,"15,729,822","9,516,807",60.5,"9,048,360",57.5,"468,447",4.9
5440,25799,51000,New York city,2016,July,"6,813,106","4,084,913",60,"3,871,190",56.8,"213,723",5.2
5441,25800,37,North Carolina,2016,July,"7,915,209","4,844,325",61.2,"4,599,901",58.1,"244,424",5
5442,25801,38,North Dakota,2016,July,"580,952","412,494",71,"399,631",68.8,"12,863",3.1
5443,25802,39,Ohio,2016,July,"9,158,454","5,749,748",62.8,"5,463,246",59.7,"286,502",5
5444,25803,40,Oklahoma,2016,July,"2,991,883","1,826,864",61.1,"1,739,455",58.1,"87,409",4.8
5445,25804,41,Oregon,2016,July,"3,283,694","2,046,599",62.3,"1,946,984",59.3,"99,615",4.9
5446,25805,42,Pennsylvania,2016,July,"10,231,756","6,465,434",63.2,"6,115,856",59.8,"349,578",5.4
5447,25806,44,Rhode Island,2016,July,"858,306","553,639",64.5,"524,516",61.1,"29,123",5.3
5448,25807,45,South Carolina,2016,July,"3,890,878","2,285,086",58.7,"2,174,111",55.9,"110,975",4.9
5449,25808,46,South Dakota,2016,July,"654,871","455,323",69.5,"441,381",67.4,"13,942",3.1
5450,25809,47,Tennessee,2016,July,"5,215,287","3,141,665",60.2,"2,991,411",57.4,"150,254",4.8
5451,25810,48,Texas,2016,July,"20,923,730","13,365,941",63.9,"12,736,496",60.9,"629,445",4.7
