Date,Open,High,Low,Close,Adj Close,Volume
"Apr 15, 2020","23,600.72","23,649.72","23,233.32","23,504.35","23,504.35","4,376,300"
"Apr 14, 2020","23,690.57","24,040.58","23,683.44","23,949.76","23,949.76","4,859,100"
"Apr 13, 2020","23,698.93","23,698.93","23,095.35","23,390.77","23,390.77","3,943,200"
"Apr 09, 2020","23,690.66","24,008.99","23,504.09","23,719.37","23,719.37","5,664,000"
"Apr 08, 2020","22,893.47","23,513.40","22,682.99","23,433.57","23,433.57","4,727,400"
"Apr 07, 2020","23,537.44","23,617.24","22,634.45","22,653.86","22,653.86","5,946,600"
"Apr 06, 2020","21,693.63","22,783.45","21,693.63","22,679.99","22,679.99","6,107,600"
"Apr 03, 2020","21,285.93","21,447.81","20,863.09","21,052.53","21,052.53","4,500,100"
"Apr 02, 2020","20,819.46","21,477.77","20,735.02","21,413.44","21,413.44","5,295,400"
"Apr 01, 2020","21,227.38","21,487.24","20,784.43","20,943.51","20,943.51","5,066,800"
"Mar 31, 2020","22,208.42","22,480.37","21,852.08","21,917.16","21,917.16","5,712,100"
"Mar 30, 2020","21,678.22","22,378.09","21,522.08","22,327.48","22,327.48","5,455,400"
"Mar 27, 2020","21,898.47","22,327.57","21,469.27","21,636.78","21,636.78","5,888,300"
"Mar 26, 2020","21,468.38","22,595.06","21,427.10","22,552.17","22,552.17","7,051,800"
"Mar 25, 2020","21,050.34","22,019.93","20,538.34","21,200.55","21,200.55","7,963,200"
"Mar 24, 2020","19,722.19","20,737.70","19,649.25","20,704.91","20,704.91","7,993,400"
"Mar 23, 2020","19,028.36","19,121.01","18,213.65","18,591.93","18,591.93","7,879,700"
"Mar 20, 2020","20,253.15","20,531.26","19,094.27","19,173.98","19,173.98","8,722,900"
"Mar 19, 2020","19,830.01","20,442.63","19,177.13","20,087.19","20,087.19","7,803,000"
"Mar 18, 2020","20,188.69","20,489.33","18,917.46","19,898.92","19,898.92","8,713,600"
"Mar 17, 2020","20,487.05","21,379.35","19,882.26","21,237.38","21,237.38","7,930,600"
"Mar 16, 2020","20,917.53","21,768.28","20,116.46","20,188.52","20,188.52","7,701,300"
"Mar 13, 2020","21,973.82","23,189.76","21,285.37","23,185.62","23,185.62","8,430,800"
"Mar 12, 2020","22,184.71","22,837.95","21,154.46","21,200.62","21,200.62","9,082,600"
"Mar 11, 2020","24,604.63","24,604.63","23,328.32","23,553.22","23,553.22","6,639,600"
"Mar 10, 2020","24,453.00","25,020.99","23,690.34","25,018.16","25,018.16","6,548,600"
"Mar 09, 2020","24,992.36","24,992.36","23,706.07","23,851.02","23,851.02","7,504,300"
"Mar 06, 2020","25,457.21","25,994.38","25,226.62","25,864.78","25,864.78","5,997,800"
"Mar 05, 2020","26,671.92","26,671.92","25,943.33","26,121.28","26,121.28","4,773,700"
"Mar 04, 2020","26,383.68","27,102.34","26,286.31","27,090.86","27,090.86","4,575,900"
"Mar 03, 2020","26,762.47","27,084.59","25,706.28","25,917.41","25,917.41","6,470,800"
"Mar 02, 2020","25,590.51","26,706.17","25,391.96","26,703.32","26,703.32","6,372,000"
"Feb 28, 2020","25,270.83","25,494.24","24,681.01","25,409.36","25,409.36","9,159,900"
"Feb 27, 2020","26,526.00","26,775.31","25,752.82","25,766.64","25,766.64","6,649,800"
"Feb 26, 2020","27,159.46","27,542.78","26,890.97","26,957.59","26,957.59","4,724,500"
"Feb 25, 2020","28,037.65","28,149.20","26,997.62","27,081.36","27,081.36","5,132,700"
"Feb 24, 2020","28,402.93","28,402.93","27,912.44","27,960.80","27,960.80","4,525,800"
"Feb 21, 2020","29,146.53","29,146.53","28,892.70","28,992.41","28,992.41","3,112,100"
"Feb 20, 2020","29,296.25","29,368.45","28,959.65","29,219.98","29,219.98","2,877,800"
"Feb 19, 2020","29,312.70","29,409.09","29,274.38","29,348.03","29,348.03","2,406,400"
"Feb 18, 2020","29,282.78","29,330.16","29,116.81","29,232.19","29,232.19","2,566,000"
"Feb 14, 2020","29,440.47","29,463.04","29,283.18","29,398.08","29,398.08","2,310,000"
"Feb 13, 2020","29,436.03","29,535.40","29,345.93","29,423.31","29,423.31","2,911,500"
"Feb 12, 2020","29,406.75","29,568.57","29,406.75","29,551.42","29,551.42","3,095,300"
"Feb 11, 2020","29,390.71","29,415.39","29,210.47","29,276.34","29,276.34","2,795,400"
"Feb 10, 2020","28,995.66","29,278.07","28,995.66","29,276.82","29,276.82","2,505,100"
"Feb 07, 2020","29,286.92","29,286.92","29,056.98","29,102.51","29,102.51","2,528,600"
"Feb 06, 2020","29,388.58","29,408.05","29,246.93","29,379.77","29,379.77","2,637,000"
"Feb 05, 2020","29,048.73","29,308.89","29,000.85","29,290.85","29,290.85","3,575,400"
"Feb 04, 2020","28,696.74","28,904.88","28,696.74","28,807.63","28,807.63","3,327,500"
"Feb 03, 2020","28,319.65","28,630.39","28,319.65","28,399.81","28,399.81","3,079,100"
"Jan 31, 2020","28,813.04","28,813.04","28,169.53","28,256.03","28,256.03","4,038,900"
"Jan 30, 2020","28,640.16","28,879.71","28,489.76","28,859.44","28,859.44","3,268,500"
"Jan 29, 2020","28,820.53","28,944.24","28,728.19","28,734.45","28,734.45","3,022,900"
"Jan 28, 2020","28,594.28","28,823.23","28,575.75","28,722.85","28,722.85","3,301,400"
"Jan 27, 2020","28,542.49","28,671.79","28,440.47","28,535.80","28,535.80","3,372,700"
"Jan 24, 2020","29,230.39","29,288.79","28,843.31","28,989.73","28,989.73","3,800,100"
"Jan 23, 2020","29,111.02","29,190.47","28,966.98","29,160.09","29,160.09","3,070,600"
"Jan 22, 2020","29,263.63","29,320.20","29,172.26","29,186.27","29,186.27","2,834,400"
"Jan 21, 2020","29,269.05","29,341.21","29,146.47","29,196.04","29,196.04","3,206,400"
"Jan 17, 2020","29,313.31","29,373.62","29,289.91","29,348.10","29,348.10","3,218,200"
"Jan 16, 2020","29,131.95","29,300.32","29,131.95","29,297.64","29,297.64","2,521,100"
"Jan 15, 2020","28,901.80","29,127.59","28,897.35","29,030.22","29,030.22","2,602,700"
"Jan 14, 2020","28,895.50","29,054.16","28,872.27","28,939.67","28,939.67","2,874,400"
"Jan 13, 2020","28,869.01","28,909.91","28,819.43","28,907.05","28,907.05","2,498,300"
"Jan 10, 2020","28,977.52","29,009.07","28,789.10","28,823.77","28,823.77","2,378,300"
"Jan 09, 2020","28,851.97","28,988.01","28,844.31","28,956.90","28,956.90","2,750,600"
"Jan 08, 2020","28,556.14","28,866.18","28,522.51","28,745.09","28,745.09","2,917,500"
"Jan 07, 2020","28,639.18","28,685.50","28,565.28","28,583.68","28,583.68","2,589,000"
"Jan 06, 2020","28,465.50","28,708.02","28,418.63","28,703.38","28,703.38","2,527,600"
"Jan 03, 2020","28,553.33","28,716.31","28,500.36","28,634.88","28,634.88","2,395,900"
"Jan 02, 2020","28,638.97","28,872.80","28,627.77","28,868.80","28,868.80","2,518,200"
"Dec 31, 2008","8,666.48","8,842.66","8,664.89","8,776.39","8,776.39","2,267,600"
"Dec 30, 2008","8,487.51","8,675.24","8,487.51","8,668.39","8,668.39","1,625,600"
"Dec 29, 2008","8,515.87","8,530.68","8,364.06","8,483.93","8,483.93","1,537,300"
"Dec 26, 2008","8,468.71","8,533.07","8,461.78","8,515.55","8,515.55","867,600"
"Dec 24, 2008","8,416.86","8,498.50","8,416.86","8,468.48","8,468.48","669,300"
"Dec 23, 2008","8,518.65","8,604.12","8,391.30","8,419.49","8,419.49","1,746,400"
"Dec 22, 2008","8,573.37","8,601.41","8,372.02","8,519.69","8,519.69","2,110,900"
"Dec 19, 2008","8,606.50","8,787.23","8,550.43","8,579.11","8,579.11","5,501,500"
"Dec 18, 2008","8,823.94","8,883.36","8,527.41","8,604.99","8,604.99","2,740,800"
"Dec 17, 2008","8,921.91","8,961.26","8,778.07","8,824.34","8,824.34","2,392,600"
"Dec 16, 2008","8,565.65","8,958.79","8,565.65","8,924.14","8,924.14","3,371,900"
"Dec 15, 2008","8,628.81","8,676.28","8,469.03","8,564.53","8,564.53","2,299,400"
"Dec 12, 2008","8,563.10","8,682.57","8,347.81","8,629.68","8,629.68","2,710,300"
"Dec 11, 2008","8,750.13","8,809.45","8,512.76","8,565.09","8,565.09","2,905,400"
"Dec 10, 2008","8,693.00","8,879.22","8,646.33","8,761.42","8,761.42","2,328,300"
"Dec 09, 2008","8,934.10","8,934.10","8,651.74","8,691.33","8,691.33","2,849,500"
"Dec 08, 2008","8,637.65","9,026.41","8,637.49","8,934.18","8,934.18","3,589,700"
"Dec 05, 2008","8,376.08","8,686.47","8,118.50","8,635.42","8,635.42","3,463,700"
"Dec 04, 2008","8,587.07","8,631.99","8,259.40","8,376.24","8,376.24","2,808,800"
"Dec 03, 2008","8,409.14","8,624.19","8,234.15","8,591.69","8,591.69","2,946,800"
"Dec 02, 2008","8,153.75","8,437.17","8,143.51","8,419.09","8,419.09","3,075,200"
"Dec 01, 2008","8,826.89","8,827.05","8,141.36","8,149.09","8,149.09","3,210,100"
"Nov 28, 2008","8,724.70","8,831.35","8,672.69","8,829.04","8,829.04","1,555,100"
"Nov 26, 2008","8,464.49","8,726.61","8,311.17","8,726.61","8,726.61","2,839,200"
"Nov 25, 2008","8,445.14","8,607.38","8,281.46","8,479.47","8,479.47","3,740,200"
"Nov 24, 2008","8,048.09","8,599.02","8,048.09","8,443.39","8,443.39","4,918,900"
"Nov 21, 2008","7,552.37","8,071.75","7,449.38","8,046.42","8,046.42","5,690,100"
"Nov 20, 2008","7,995.53","8,187.40","7,506.97","7,552.29","7,552.29","5,281,300"
"Nov 19, 2008","8,420.69","8,504.64","7,987.08","7,997.28","7,997.28","3,504,700"
"Nov 18, 2008","8,273.34","8,477.95","8,105.44","8,424.75","8,424.75","3,663,900"
"Nov 17, 2008","8,494.84","8,571.30","8,246.89","8,273.58","8,273.58","2,782,200"
"Nov 14, 2008","8,822.19","8,923.18","8,469.99","8,497.31","8,497.31","3,043,700"
"Nov 13, 2008","8,281.14","8,876.59","7,965.42","8,835.25","8,835.25","4,766,000"
"Nov 12, 2008","8,684.52","8,684.60","8,265.29","8,282.66","8,282.66","3,146,600"
"Nov 11, 2008","8,864.32","8,867.91","8,560.71","8,693.96","8,693.96","2,572,700"
"Nov 10, 2008","8,946.60","9,159.58","8,760.46","8,870.54","8,870.54","2,212,300"
"Nov 07, 2008","8,696.03","8,961.57","8,696.03","8,943.81","8,943.81","2,463,000"
"Nov 06, 2008","9,134.01","9,155.44","8,637.17","8,695.79","8,695.79","3,443,500"
"Nov 05, 2008","9,616.60","9,616.60","9,111.47","9,139.27","9,139.27","2,646,400"
"Nov 04, 2008","9,323.89","9,653.95","9,323.89","9,625.28","9,625.28","2,549,300"
"Nov 03, 2008","9,326.04","9,410.55","9,255.48","9,319.83","9,319.83","1,809,700"
"Oct 31, 2008","9,179.09","9,454.36","9,119.20","9,325.01","9,325.01","3,109,500"
"Oct 30, 2008","9,004.66","9,266.47","8,976.87","9,180.69","9,180.69","2,672,100"
"Oct 29, 2008","9,062.33","9,363.32","8,890.29","8,990.96","8,990.96","3,162,300"
"Oct 28, 2008","8,178.72","9,082.08","8,174.73","9,065.12","9,065.12","3,721,600"
"Oct 27, 2008","8,375.92","8,599.10","8,143.59","8,175.77","8,175.77","2,811,800"
